County,FIPS code,County seat,Est.,Formed from,Etymology,General Law or Charter,Population (2022),Area,Map
San Joaquin County,077,Stockton,1850,original,"Spanish for Saint Joachim, father of the Virgin Mary",General Law,"793,229","1,399 sq mi
(3,623 km2)",
San Luis Obispo County,079,San Luis Obispo,1850,original,"The city of San Luis Obispo, from Mission San Luis Obispo, named after Saint Louis of Toulouse (Spanish for Saint Louis, the Bishop)",General Law,"282,013","3,304 sq mi
(8,557 km2)",
San Mateo County,081,Redwood City,1856,San Francisco and Santa Cruz,Spanish for Saint Matthew,Charter,"729,181","449 sq mi
(1,163 km2)",
Santa Barbara County,083,Santa Barbara,1850,original,"The city of Santa Barbara, from Mission Santa Barbara, (Spanish for Saint Barbara)",General Law,"443,837","2,738 sq mi
(7,091 km2)",
Santa Clara County,085,San Jose,1850,original,"City of Santa Clara, from Mission Santa Clara de Asís, named for Saint Clare of Assisi (Spanish for Saint Clare)",Charter,"1,870,945","1,291 sq mi
(3,344 km2)",
Santa Cruz County,087,Santa Cruz,1850,original,"The city of Santa Cruz, from Mission Santa Cruz (Spanish for ""holy cross"")",General Law,"264,370","446 sq mi
(1,155 km2)",
Shasta County,089,Redding,1850,original,Mount Shasta; the indigenous Shasta people,General Law,"180,930","3,786 sq mi
(9,806 km2)",
Sierra County,091,Downieville,1852,Yuba,"Sierra is Spanish for ""mountain range"", a reference to the area's topography",General Law,"3,217","953 sq mi
(2,468 km2)",
Siskiyou County,093,Yreka,1852,Shasta and Klamath,Siskiyou Mountains; exact etymology of Siskiyou is disputed.,General Law,"43,660","6,287 sq mi
(16,283 km2)",
Solano County,095,Fairfield,1850,original,Chief Solano of the Suisunes,General Law,"448,747","828 sq mi
(2,145 km2)",
Sonoma County,097,Santa Rosa,1850,original,"Exact etymology disputed; probably a Pomo term meaning ""valley of the moon"", which references a native legend about spiritual activity in the area",General Law,"482,650","1,576 sq mi
(4,082 km2)",
Stanislaus County,099,Modesto,1854,Tuolumne,"Stanislaus River, named after Estanislao, a native of the area when California was under Spanish and Mexican rule",General Law,"551,275","1,495 sq mi
(3,872 km2)",
Sutter County,101,Yuba City,1850,original,"John Sutter, a Swiss pioneer of California associated with the California Gold Rush",General Law,"98,503","603 sq mi
(1,562 km2)",
Tehama County,103,Red Bluff,1856,"Butte, Colusa and Shasta","The city of Tehama, probably a native term describing its location",Charter,"65,245","2,951 sq mi
(7,643 km2)",
Trinity County,105,Weaverville,1850,original,"The city of Trinidad, Spanish for ""trinity""",General Law,"15,781","3,179 sq mi
(8,234 km2)",
Tulare County,107,Visalia,1852,Mariposa,"Tulare Lake, which is named after the tule rush (Schoenoplectus acutus) that grew in the marshes and sloughs along its shores",General Law,"477,544","4,824 sq mi
(12,494 km2)",
Tuolumne County,109,Sonora,1850,original,"Exact etymology disputed; probably a corruption of the native term talmalamne, which means ""cluster of stone wigwams"", a reference to local cave dwelling tribes",General Law,"54,531","2,236 sq mi
(5,791 km2)",
Ventura County,111,Ventura,1872,Santa Barbara,"The city of Ventura, derived from Mission San Buenaventura (Spanish for St. Bonaventure)",General Law,"832,605","1,846 sq mi
(4,781 km2)",
Yolo County,113,Woodland,1850,original,"The Yolan people, a local Native American tribe",General Law,"222,115","1,012 sq mi
(2,621 km2)",
Yuba County,115,Marysville,1850,original,"Named either by the Maidu people, a local Native American tribe who live on the banks of the Feather and Yuba Rivers, for one of their villages, or by Gabriel Moraga for the wild grapes (Vitis californica) that grow abundantly at the edge of the rivers (uva being Spanish for ""grape"")",General Law,"84,310","630 sq mi
(1,632 km2)",
