swimmer_id,race_year,age,lifeguard_cert,years_coached,years_ow_experience,race_id,race_name,location,distance_mi,swell_ft_typical,water_temp_f,current_strength,difficulty_rating,finished,finish_time_min
SW0004,2021,66,N,2,8.3,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0004,2022,67,N,2,9.3,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,26.2
SW0005,2019,48,N,1,1.3,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0005,2022,51,N,1,4.3,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,31.7
SW0005,2024,53,N,1,6.3,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,33.7
SW0005,2024,53,N,1,6.3,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,59.2
SW0006,2019,58,N,3,5.7,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,24.4
SW0006,2020,59,N,3,6.7,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,31.4
SW0006,2022,61,N,4,8.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0006,2024,63,N,3,10.7,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,20.7
SW0007,2019,61,N,5,6.5,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0007,2020,62,N,5,7.5,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,32.5
SW0007,2021,63,N,5,8.5,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0007,2022,64,N,5,9.5,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0007,2023,65,N,6,10.5,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,79.5
SW0007,2023,65,N,6,10.5,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0007,2023,65,N,5,10.5,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0007,2023,65,N,6,10.5,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,79.5
SW0007,2023,65,N,5,10.5,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0008,2020,30,N,3,18.7,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0008,2020,30,N,3,18.7,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0008,2021,31,N,3,19.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0008,2022,32,N,3,20.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,53.4
SW0008,2023,33,N,3,21.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0008,2023,33,N,3,21.7,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,24.0
SW0009,2019,20,N,1,1.7,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0009,2020,21,N,1,2.7,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0009,2023,24,N,2,5.7,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,35.9
SW0010,2020,34,N,1,6.4,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,53.9
SW0010,2020,34,N,1,6.4,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,32.4
SW0010,2022,36,N,1,8.4,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,27.0
SW0010,2022,36,N,1,8.4,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,32.1
SW0010,2024,38,N,2,10.4,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0010,2024,38,N,1,10.4,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,57.9
SW0011,2019,32,N,1,5.2,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,47.0
SW0011,2021,34,N,1,7.2,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,23.4
SW0011,2021,34,N,1,7.2,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,23.4
SW0011,2023,36,N,1,9.2,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,1,44.6
SW0011,2023,36,N,1,9.2,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,1,39.0
SW0012,2019,63,N,3,8.2,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,52.3
SW0012,2020,64,N,3,9.2,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,85.7
SW0012,2020,64,N,3,9.2,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0012,2024,68,N,4,13.2,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0013,2019,65,N,2,11.2,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,55.5
SW0013,2020,66,N,2,12.2,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,29.8
SW0013,2020,66,N,2,12.2,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0013,2021,67,N,2,13.2,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,1,45.0
SW0013,2022,68,N,2,14.2,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,62.3
SW0013,2023,69,N,3,15.2,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,25.2
SW0014,2019,18,N,3,3.5,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0014,2022,21,N,3,6.5,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0014,2022,21,N,4,6.5,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0014,2023,22,N,3,7.5,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,30.3
SW0014,2024,23,N,4,8.5,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,29.2
SW0015,2019,43,N,3,1.9,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0015,2020,44,N,4,2.9,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0015,2021,45,N,3,3.9,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0015,2022,46,N,3,4.9,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0015,2022,46,N,4,4.9,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,119.1
SW0015,2023,47,N,4,5.9,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0015,2023,47,N,3,5.9,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0016,2019,60,N,1,0.0,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0016,2019,60,N,1,0.0,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0016,2020,61,N,1,1.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0016,2021,62,N,2,2.0,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0016,2022,63,N,1,3.0,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0016,2023,64,N,1,4.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0016,2023,64,N,1,4.0,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0017,2020,25,Y,3,2.4,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,70.9
SW0017,2020,25,Y,2,2.4,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0017,2020,25,Y,3,2.4,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,43.4
SW0017,2021,26,Y,2,3.4,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,50.0
SW0017,2021,26,Y,2,3.4,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,25.2
SW0017,2023,28,Y,3,5.4,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,25.2
SW0018,2020,60,N,3,9.7,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,78.7
SW0018,2020,60,N,4,9.7,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,75.8
SW0018,2021,61,N,4,10.7,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,19.5
SW0018,2021,61,N,4,10.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,42.2
SW0018,2021,61,N,4,10.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,42.2
SW0018,2022,62,N,3,11.7,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,62.1
SW0018,2023,63,N,4,12.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,54.8
SW0018,2024,64,N,3,13.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,45.2
SW0018,2024,64,N,3,13.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,53.7
SW0019,2019,24,N,4,6.2,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0019,2022,27,N,4,9.2,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,24.4
SW0019,2024,29,N,4,11.2,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0019,2024,29,N,4,11.2,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0020,2019,42,N,3,0.9,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0020,2020,43,N,3,1.9,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0020,2020,43,N,3,1.9,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,126.2
SW0020,2021,44,N,4,2.9,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0021,2019,60,N,2,4.1,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,25.4
SW0021,2020,61,N,3,5.1,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0021,2021,62,N,2,6.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,56.2
SW0021,2023,64,N,3,8.1,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,27.0
SW0021,2024,65,N,3,9.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,74.0
SW0021,2024,65,N,2,9.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,63.6
SW0022,2019,33,N,2,6.2,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0022,2023,37,N,3,10.2,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,28.7
SW0022,2023,37,N,2,10.2,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0023,2019,35,N,4,8.5,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0023,2019,35,N,4,8.5,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,26.7
SW0023,2020,36,N,4,9.5,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0023,2024,40,N,5,13.5,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0024,2021,34,N,1,5.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0024,2023,36,N,1,7.0,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0024,2023,36,N,1,7.0,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0025,2019,55,N,3,4.7,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0025,2019,55,N,3,4.7,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0025,2022,58,N,3,7.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,48.8
SW0025,2022,58,N,3,7.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0025,2022,58,N,3,7.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0025,2022,58,N,3,7.7,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,48.8
SW0025,2024,60,N,3,9.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,71.3
SW0026,2019,31,N,3,0.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0026,2019,31,N,3,0.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,89.1
SW0026,2020,32,N,3,1.0,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0026,2021,33,N,4,2.0,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0026,2022,34,N,3,3.0,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0026,2022,34,N,3,3.0,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,65.2
SW0026,2024,36,N,4,5.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,48.2
SW0026,2024,36,N,4,5.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,48.2
SW0027,2020,70,N,1,1.2,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0027,2022,72,N,2,3.2,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,79.2
SW0027,2022,72,N,1,3.2,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0027,2023,73,N,1,4.2,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0028,2020,42,N,1,15.1,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,98.0
SW0028,2020,42,N,2,15.1,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,58.3
SW0028,2021,43,N,2,16.1,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0028,2022,44,N,1,17.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,69.8
SW0028,2022,44,N,1,17.1,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,91.4
SW0029,2019,42,Y,3,0.0,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0029,2020,43,Y,3,1.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0029,2020,43,Y,4,1.0,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,31.8
SW0029,2022,45,Y,3,3.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0029,2023,46,Y,3,4.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0029,2024,47,Y,3,5.0,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0029,2024,47,Y,4,5.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,103.9
SW0030,2020,45,Y,5,5.3,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,0,
SW0030,2021,46,Y,5,6.3,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,26.6
SW0030,2021,46,Y,4,6.3,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,23.1
SW0030,2022,47,Y,5,7.3,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0030,2022,47,Y,5,7.3,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,104.6
SW0030,2023,48,Y,4,8.3,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0030,2023,48,Y,4,8.3,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,83.3
SW0030,2024,49,Y,4,9.3,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,27.3
SW0031,2020,49,Y,3,8.1,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0031,2020,49,Y,3,8.1,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,31.5
SW0031,2021,50,Y,3,9.1,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,29.8
SW0031,2022,51,Y,3,10.1,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,78.6
SW0031,2024,53,Y,3,12.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0031,2024,53,Y,3,12.1,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,91.7
SW0032,2020,47,N,2,5.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,84.1
SW0032,2020,47,N,3,5.1,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,61.9
SW0032,2020,47,N,2,5.1,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0032,2020,47,N,2,5.1,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,29.2
SW0032,2021,48,N,3,6.1,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0032,2021,48,N,2,6.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,60.6
SW0032,2023,50,N,2,8.1,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,61.1
SW0033,2019,44,N,1,2.0,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0033,2020,45,N,1,3.0,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,29.9
SW0033,2023,48,N,1,6.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,56.9
SW0034,2019,69,Y,4,5.7,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0034,2023,73,Y,4,9.7,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,26.1
SW0034,2024,74,Y,5,10.7,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,91.4
SW0035,2020,60,N,2,7.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,45.2
SW0035,2020,60,N,2,7.0,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0035,2021,61,N,3,8.0,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0035,2022,62,N,2,9.0,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0035,2022,62,N,2,9.0,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,93.3
SW0035,2023,63,N,3,10.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,50.7
SW0036,2019,59,N,3,5.6,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0036,2021,61,N,3,7.6,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0036,2023,63,N,4,9.6,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0037,2020,55,N,3,1.0,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0037,2020,55,N,3,1.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0037,2020,55,N,4,1.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0037,2021,56,N,4,2.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0037,2022,57,N,3,3.0,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
SW0037,2022,57,N,3,3.0,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0037,2023,58,N,4,4.0,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,53.3
SW0037,2023,58,N,3,4.0,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0038,2020,51,N,2,6.3,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,86.3
SW0038,2021,52,N,2,7.3,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,57.5
SW0038,2023,54,N,2,9.3,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,94.1
SW0038,2024,55,N,2,10.3,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0038,2024,55,N,2,10.3,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,0,
SW0039,2020,36,N,3,2.7,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0039,2020,36,N,3,2.7,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,24.1
SW0039,2023,39,N,2,5.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,79.8
SW0039,2024,40,N,3,6.7,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,62.9
SW0040,2020,70,N,3,4.3,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,26.3
SW0040,2020,70,N,3,4.3,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,41.3
SW0040,2021,71,N,3,5.3,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,50.2
SW0040,2024,74,N,3,8.3,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0040,2024,74,N,4,8.3,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,24.9
SW0041,2021,44,N,2,9.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,64.9
SW0041,2021,44,N,3,9.1,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,87.8
SW0041,2022,45,N,2,10.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,61.3
SW0041,2023,46,N,2,11.1,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,65.3
SW0042,2019,29,N,1,9.2,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,88.2
SW0042,2019,29,N,1,9.2,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,1,31.7
SW0042,2020,30,N,1,10.2,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,0,
SW0042,2020,30,N,1,10.2,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0043,2019,61,N,3,10.5,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,1,45.2
SW0043,2019,61,N,3,10.5,R6,Alcatraz Sharkfest Swim,CA,1.5,2-4,60,High,5,0,
SW0043,2020,62,N,3,11.5,R3,La Jolla Rough Water (1mi),CA,1.0,2-3,66,Moderate,2,1,22.9
SW0043,2021,63,N,4,12.5,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,0,
SW0043,2022,64,N,4,13.5,R2,La Jolla Rough Water (3mi),CA,3.0,3-5,66,Moderate,4,1,65.0
SW0043,2022,64,N,4,13.5,R5,Manhattan Beach Pier to Pier,CA,2.0,1-2,65,Low,2,1,49.1
SW0043,2023,65,N,4,14.5,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,1,61.5
SW0043,2024,66,N,3,15.5,R4,Seal Beach Rough Water Swim,CA,1.0,2-3,64,Moderate,2,0,
SW0044,2019,26,Y,1,3.5,R7,Maui Roughwater Swim,HI,3.0,3-5,78,High,4,1,113.4
SW0044,2020,27,Y,1,4.5,R1,Waikiki Roughwater Swim,HI,2.4,2-3,79,Moderate,3,0,
